Filename,Category,Caption_Index,Confidence,Reason,Caption_Text
center_1072.tif,center,1,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='center'; urban_obj claim(2 toks) not supported by category='center',"This is a building, a road, trees and grass."
center_1073.tif,center,5,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='center'; urban_obj claim(2 toks) not supported by category='center',"There are several buildings, roads, trees and grass."
center_1080.tif,center,1,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='center'; urban_obj claim(2 toks) not supported by category='center',"This is a building, a road, trees and grass."
center_1142.tif,center,5,LOW CONFIDENCE,water_obj claim(2 toks) not supported by category='center'; urban_obj claim(2 toks) not supported by category='center',a curved center building is near several buildings and a dry river with a boat .
church_1168.tif,church,3,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='church'; urban_obj claim(2 toks) not supported by category='church',"There are buildings, roads, trees, cars and grass."
denseresidential_1426.tif,denseresidential,2,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='denseresidential'; urban_obj claim(2 toks) not supported by category='denseresidential',"There are buildings, roads, grass and trees."
mediumresidential_2223.tif,mediumresidential,1,LOW CONFIDENCE,green claim(2 toks) but g_mean=0.192 < P05(G)-m=0.229; urban_obj claim(2 toks) not supported by category='mediumresidential',Some green trees and buildings are near the road.
mediumresidential_2223.tif,mediumresidential,4,LOW CONFIDENCE,green claim(2 toks) but g_mean=0.192 < P05(G)-m=0.229; urban_obj claim(2 toks) not supported by category='mediumresidential',Some green trees and buildings are near a road.
mediumresidential_2223.tif,mediumresidential,5,LOW CONFIDENCE,green claim(2 toks) but g_mean=0.192 < P05(G)-m=0.229; urban_obj claim(2 toks) not supported by category='mediumresidential',Some green trees and buildings are close to a road.
park_2461.tif,park,4,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='park'; urban_obj claim(2 toks) not supported by category='park',"It is green lakes, green trees and grass, white buildings and grey roads."
park_2471.tif,park,4,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='park'; urban_obj claim(2 toks) not supported by category='park',"It's a river, roads, trees, grass and buildings."
park_2503.tif,park,2,LOW CONFIDENCE,green claim(3 toks) but g_mean=0.218 < P05(G)-m=0.229; vegetation_obj claim(2 toks) not supported by category='park',There are many trees and grass in the park.
park_2503.tif,park,4,LOW CONFIDENCE,green claim(3 toks) but g_mean=0.218 < P05(G)-m=0.229; vegetation_obj claim(2 toks) not supported by category='park',There's lots of trees and grass in the park.
pond_2874.tif,pond,5,LOW CONFIDENCE,blue claim(3 toks) but b_mean=0.175 < P05(B)-m=0.181; water_obj claim(2 toks) not supported by category='pond',"This trapezoidal Lake has dark blue water, with dense forests surrounded."
pond_2932.tif,pond,4,LOW CONFIDENCE,blue claim(2 toks) but b_mean=0.150 < P05(B)-m=0.181; green claim(2 toks) but g_mean=0.180 < P05(G)-m=0.229,It's a dark blue lake and green grass.
pond_2991.tif,pond,2,LOW CONFIDENCE,green claim(2 toks) but g_mean=0.210 < P05(G)-m=0.229; vegetation_obj claim(3 toks) not supported by category='pond',The Pentagon pond is lying in the forest and is a red field surrounded by trees.
pond_2991.tif,pond,3,LOW CONFIDENCE,green claim(2 toks) but g_mean=0.210 < P05(G)-m=0.229; vegetation_obj claim(2 toks) not supported by category='pond',A pentagonal pond sits between the forest and the red fields surrounded by trees.
pond_2991.tif,pond,5,LOW CONFIDENCE,green claim(2 toks) but g_mean=0.210 < P05(G)-m=0.229; vegetation_obj claim(3 toks) not supported by category='pond',A pentagonal pond is located between a forest and a red field surrounded by trees.
port_3104.tif,port,1,LOW CONFIDENCE,water_obj claim(2 toks) not supported by category='port'; urban_obj claim(2 toks) not supported by category='port',"It is dark green sea, red ship, gray road and building."
resort_3349.tif,resort,3,LOW CONFIDENCE,green claim(2 toks) but g_mean=0.206 < P05(G)-m=0.229; water_obj claim(2 toks) not supported by category='resort',Many green trees and some buildings are close to a lake with black water.
resort_3349.tif,resort,5,LOW CONFIDENCE,green claim(2 toks) but g_mean=0.206 < P05(G)-m=0.229; water_obj claim(2 toks) not supported by category='resort',Many green trees and some buildings are near a lake with black water.
resort_3357.tif,resort,5,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='resort'; urban_obj claim(2 toks) not supported by category='resort',"This is land, buildings, roads, trees and grass."
resort_3358.tif,resort,3,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='resort'; urban_obj claim(2 toks) not supported by category='resort',"There are buildings, trees, roads and grass."
school_3668.tif,school,2,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='school'; urban_obj claim(2 toks) not supported by category='school',In the camp there are a sports park and a prone building along the road surrounded by trees and grass.
school_3671.tif,school,3,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='school'; urban_obj claim(2 toks) not supported by category='school',"It's green grass and trees, grey roads, red runways and black buildings."
school_3671.tif,school,4,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='school'; urban_obj claim(2 toks) not supported by category='school',"There are buildings, playgrounds, trees, grass and roads."
square_3971.tif,square,2,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='square'; urban_obj claim(2 toks) not supported by category='square',"They are red buildings, gray roads, many colorful cars, green trees and grass."
square_3971.tif,square,4,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='square'; urban_obj claim(2 toks) not supported by category='square',"There are many buildings, roads, cars, trees and grass."
square_3971.tif,square,5,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='square'; urban_obj claim(2 toks) not supported by category='square',"There are many buildings, roads, cars, trees and grass here."
stadium_4148.tif,stadium,2,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='stadium'; urban_obj claim(2 toks) not supported by category='stadium',"They are black and brown buildings, gray roads, many colorful cars, green trees and grass."
stadium_4148.tif,stadium,4,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='stadium'; urban_obj claim(2 toks) not supported by category='stadium',"There are many buildings, roads, cars, trees and grass."
stadium_4148.tif,stadium,5,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='stadium'; urban_obj claim(2 toks) not supported by category='stadium',"There are many buildings, roads, cars, trees and grass here."
storagetanks_4339.tif,storagetanks,1,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='storagetanks'; urban_obj claim(2 toks) not supported by category='storagetanks',"There are buildings, roads, railways, trains, trees and grass."
viaduct_4585.tif,viaduct,3,LOW CONFIDENCE,vegetation_obj claim(2 toks) not supported by category='viaduct'; urban_obj claim(2 toks) not supported by category='viaduct',the symmetrical cross distribution of the ring road and the straight roads around it are green grass and trees .
